Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Profiling methyl jasmonate-responsive transcriptome for understanding induced systemic resistance in whitebark pine (Pinus albicaulis).,/pubmed/28861810,"Liu JJ, Williams H, Li XR, Schoettle AW, Sniezko RA, Murray M, Zamany A, Roke G, Chen H.",Plant Mol Biol. 2017 Nov;95(4-5):359-374. doi: 10.1007/s11103-017-0655-z. Epub 2017 Aug 31.,Plant Mol Biol.  2017,PubMed,citation,PMID:28861810,pubmed,28861810,create date:2017/09/02 | first author:Liu JJ
Estimation of Stratified Mark-Specific Proportional Hazards Models under Two-Phase Sampling with Application to HIV Vaccine Efficacy Trials.,/pubmed/28781713,"Yang G, Sun Y, Qi L, Gilbert PB.",Stat Biosci. 2017 Jun;9(1):259-283. doi: 10.1007/s12561-016-9177-5. Epub 2016 Oct 27.,Stat Biosci.  2017,PubMed,citation,PMID:28781713 | PMCID:PMC5540271,pubmed,28781713,create date:2017/08/07 | first author:Yang G
Optimal mating strategies to manage a heterozygous advantage major gene in sheep.,/pubmed/28770690,"Raoul J, Palhière I, Astruc JM, Swan A, Elsen JM.",Animal. 2018 Mar;12(3):454-463. doi: 10.1017/S1751731117001835. Epub 2017 Aug 3.,Animal.  2018,PubMed,citation,PMID:28770690,pubmed,28770690,create date:2017/08/05 | first author:Raoul J
The impact of physiological peripartal stress on the lifelong health of newborn.,/pubmed/28664740,"Hederlingova J, Psenkova P, Zahumensky J.",Bratisl Lek Listy. 2017;118(6):324-327. doi: 10.4149/BLL_2017_063.,Bratisl Lek Listy.  2017,PubMed,citation,PMID:28664740,pubmed,28664740,create date:2017/07/01 | first author:Hederlingova J
Mammalian Synthetic Biology: Engineering Biological Systems.,/pubmed/28633563,"Black JB, Perez-Pinera P, Gersbach CA.",Annu Rev Biomed Eng. 2017 Jun 21;19:249-277. doi: 10.1146/annurev-bioeng-071516-044649. Review.,Annu Rev Biomed Eng.  2017,PubMed,citation,PMID:28633563,pubmed,28633563,create date:2017/06/22 | first author:Black JB
OpenMS - A platform for reproducible analysis of mass spectrometry data.,/pubmed/28559010,"Pfeuffer J, Sachsenberg T, Alka O, Walzer M, Fillbrunn A, Nilse L, Schilling O, Reinert K, Kohlbacher O.",J Biotechnol. 2017 Nov 10;261:142-148. doi: 10.1016/j.jbiotec.2017.05.016. Epub 2017 May 27. Review.,J Biotechnol.  2017,PubMed,citation,PMID:28559010,pubmed,28559010,create date:2017/06/01 | first author:Pfeuffer J
PanWeb: A web interface for pan-genomic analysis.,/pubmed/28542514,"Pantoja Y, Pinheiro K, Veras A, Araújo F, Lopes de Sousa A, Guimarães LC, Silva A, Ramos RTJ.",PLoS One. 2017 May 24;12(5):e0178154. doi: 10.1371/journal.pone.0178154. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28542514 | PMCID:PMC5443543,pubmed,28542514,create date:2017/05/26 | first author:Pantoja Y
Controlled release of GAG-binding enhanced transduction (GET) peptides for sustained and highly efficient intracellular delivery.,/pubmed/28457961,"Abu-Awwad HAM, Thiagarajan L, Dixon JE.",Acta Biomater. 2017 Jul 15;57:225-237. doi: 10.1016/j.actbio.2017.04.028. Epub 2017 Apr 27.,Acta Biomater.  2017,PubMed,citation,PMID:28457961,pubmed,28457961,create date:2017/05/02 | first author:Abu-Awwad HAM
"Multi-class computational evolution: development, benchmark evaluation and application to RNA-Seq biomarker discovery.",/pubmed/28450890,"Crabtree NM, Moore JH, Bowyer JF, George NI.",BioData Min. 2017 Apr 24;10:13. doi: 10.1186/s13040-017-0134-8. eCollection 2017.,BioData Min.  2017,PubMed,citation,PMID:28450890 | PMCID:PMC5404302,pubmed,28450890,create date:2017/04/30 | first author:Crabtree NM
Prediction of miRNA-mRNA Interactions Using miRGate.,/pubmed/28439836,"Andrés-León E, Gómez-López G, Pisano DG.",Methods Mol Biol. 2017;1580:225-237. doi: 10.1007/978-1-4939-6866-4_15.,Methods Mol Biol.  2017,PubMed,citation,PMID:28439836,pubmed,28439836,create date:2017/04/26 | first author:Andrés-León E
Development of closed-loop supply chain network in terms of corporate social responsibility.,/pubmed/28384250,"Pedram A, Pedram P, Yusoff NB, Sorooshian S.",PLoS One. 2017 Apr 6;12(4):e0174951. doi: 10.1371/journal.pone.0174951. eCollection 2017. Erratum in: PLoS One. 2017 May 24;12 (5):e0178723. ,PLoS One.  2017,PubMed,citation,PMID:28384250 | PMCID:PMC5383151,pubmed,28384250,create date:2017/04/07 | first author:Pedram A
The RNASeq-er API-a gateway to systematically updated analysis of public RNA-seq data.,/pubmed/28369191,"Petryszak R, Fonseca NA, Füllgrabe A, Huerta L, Keays M, Tang YA, Brazma A.",Bioinformatics. 2017 Jul 15;33(14):2218-2220. doi: 10.1093/bioinformatics/btx143.,Bioinformatics.  2017,PubMed,citation,PMID:28369191 | PMCID:PMC5870697,pubmed,28369191,create date:2017/04/04 | first author:Petryszak R
Towards combinatorial transcriptional engineering.,/pubmed/28300614,"Mehrotra R, Renganaath K, Kanodia H, Loake GJ, Mehrotra S.",Biotechnol Adv. 2017 May - Jun;35(3):390-405. doi: 10.1016/j.biotechadv.2017.03.006. Epub 2017 Mar 11. Review.,Biotechnol Adv.  2017,PubMed,citation,PMID:28300614,pubmed,28300614,create date:2017/03/17 | first author:Mehrotra R
Analysis and Control of Chain Mobility in Protein Hydrogels.,/pubmed/28225256,"Rapp PB, Omar AK, Shen JJ, Buck ME, Wang ZG, Tirrell DA.",J Am Chem Soc. 2017 Mar 15;139(10):3796-3804. doi: 10.1021/jacs.6b13146. Epub 2017 Mar 1.,J Am Chem Soc.  2017,PubMed,citation,PMID:28225256,pubmed,28225256,create date:2017/02/23 | first author:Rapp PB
graph-GPA: A graphical model for prioritizing GWAS results and investigating pleiotropic architecture.,/pubmed/28212402,"Chung D, Kim HJ, Zhao H.",PLoS Comput Biol. 2017 Feb 17;13(2):e1005388. doi: 10.1371/journal.pcbi.1005388. eCollection 2017 Feb.,PLoS Comput Biol.  2017,PubMed,citation,PMID:28212402 | PMCID:PMC5347371,pubmed,28212402,create date:2017/02/18 | first author:Chung D
Developmental Origins of Chronic Kidney Disease: Should We Focus on Early Life?,/pubmed/28208659,"Tain YL, Hsu CN.",Int J Mol Sci. 2017 Feb 11;18(2). pii: E381. doi: 10.3390/ijms18020381. Review.,Int J Mol Sci.  2017,PubMed,citation,PMID:28208659 | PMCID:PMC5343916,pubmed,28208659,create date:2017/02/18 | first author:Tain YL
"Meneco, a Topology-Based Gap-Filling Tool Applicable to Degraded Genome-Wide Metabolic Networks.",/pubmed/28129330,"Prigent S, Frioux C, Dittami SM, Thiele S, Larhlimi A, Collet G, Gutknecht F, Got J, Eveillard D, Bourdon J, Plewniak F, Tonon T, Siegel A.",PLoS Comput Biol. 2017 Jan 27;13(1):e1005276. doi: 10.1371/journal.pcbi.1005276. eCollection 2017 Jan.,PLoS Comput Biol.  2017,PubMed,citation,PMID:28129330 | PMCID:PMC5302834,pubmed,28129330,create date:2017/01/28 | first author:Prigent S
Application of Genetic Programming (GP) Formalism for Building Disease Predictive Models from Protein-Protein Interactions (PPI) Data.,/pubmed/28113781,"Vyas R, Bapat S, Goel P, Karthikeyan M, Tambe SS, Kulkarni BD.",IEEE/ACM Trans Comput Biol Bioinform. 2018 Jan-Feb;15(1):27-37. doi: 10.1109/TCBB.2016.2621042. Epub 2016 Oct 26.,IEEE/ACM Trans Comput Biol Bioinform.  2018,PubMed,citation,PMID:28113781,pubmed,28113781,create date:2017/01/24 | first author:Vyas R
Mathematical Modeling of Intestinal Iron Absorption Using Genetic Programming.,/pubmed/28072870,"Colins A, Gerdtzen ZP, Nuñez MT, Salgado JC.",PLoS One. 2017 Jan 10;12(1):e0169601. doi: 10.1371/journal.pone.0169601. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28072870 | PMCID:PMC5225013,pubmed,28072870,create date:2017/01/11 | first author:Colins A
FirebrowseR: an R client to the Broad Institute's Firehose Pipeline.,/pubmed/28062517,"Deng M, Brägelmann J, Kryukov I, Saraiva-Agostinho N, Perner S.",Database (Oxford). 2017 Jan 6;2017. doi: 10.1093/database/baw160. Print 2017.,Database (Oxford).  2017,PubMed,citation,PMID:28062517 | PMCID:PMC5216271,pubmed,28062517,create date:2017/01/08 | first author:Deng M
[Multivariate analysis of relationship between soil nutrient factors and fruit quality characte-ristic of 'Fuji' apple in two dominant production regions of China].,/pubmed/29749194,"Zhang Q, Li MJ, Zhou BB, Li XL, Sun J, Zhang JK, Wei QP.",Ying Yong Sheng Tai Xue Bao. 2017 Jan;28(1):105-114. doi: 10.13287/j.1001-9332.201701.030. Chinese. ,Ying Yong Sheng Tai Xue Bao.  2017,PubMed,citation,PMID:29749194,pubmed,29749194,create date:2017/01/01 | first author:Zhang Q
Harnessing human ADAR2 for RNA repair - Recoding a PINK1 mutation rescues mitophagy.,/pubmed/27907896,"Wettengel J, Reautschnig P, Geisler S, Kahle PJ, Stafforst T.",Nucleic Acids Res. 2017 Mar 17;45(5):2797-2808. doi: 10.1093/nar/gkw911.,Nucleic Acids Res.  2017,PubMed,citation,PMID:27907896 | PMCID:PMC5389476,pubmed,27907896,create date:2016/12/03 | first author:Wettengel J
Maternal Fructose Intake Affects Transcriptome Changes and Programmed Hypertension in Offspring in Later Life.,/pubmed/27897982,"Tain YL, Chan JY, Hsu CN.",Nutrients. 2016 Nov 25;8(12). pii: E757. Review.,Nutrients.  2016,PubMed,citation,PMID:27897982 | PMCID:PMC5188412,pubmed,27897982,create date:2016/11/30 | first author:Tain YL
Boosting functionality of synthetic DNA circuits with tailored deactivation.,/pubmed/27845324,"Montagne K, Gines G, Fujii T, Rondelez Y.",Nat Commun. 2016 Nov 15;7:13474. doi: 10.1038/ncomms13474.,Nat Commun.  2016,PubMed,citation,PMID:27845324 | PMCID:PMC5116077,pubmed,27845324,create date:2016/11/16 | first author:Montagne K
Plant Reactome: a resource for plant pathways and comparative analysis.,/pubmed/27799469,"Naithani S, Preece J, D'Eustachio P, Gupta P, Amarasinghe V, Dharmawardhana PD, Wu G, Fabregat A, Elser JL, Weiser J, Keays M, Fuentes AM, Petryszak R, Stein LD, Ware D, Jaiswal P.",Nucleic Acids Res. 2017 Jan 4;45(D1):D1029-D1039. doi: 10.1093/nar/gkw932. Epub 2016 Oct 30.,Nucleic Acids Res.  2017,PubMed,citation,PMID:27799469 | PMCID:PMC5210633,pubmed,27799469,create date:2016/11/02 | first author:Naithani S
pyGeno: A Python package for precision medicine and proteogenomics.,/pubmed/27785359,"Daouda T, Perreault C, Lemieux S.",Version 2. F1000Res. 2016 Mar 21 [revised 2016 Jan 1];5:381. eCollection 2016.,F1000Res.  2016,PubMed,citation,PMID:27785359 | PMCID:PMC5022704,pubmed,27785359,create date:2016/11/01 | first author:Daouda T
GenomeCRISPR - a database for high-throughput CRISPR/Cas9 screens.,/pubmed/27789686,"Rauscher B, Heigwer F, Breinig M, Winter J, Boutros M.",Nucleic Acids Res. 2017 Jan 4;45(D1):D679-D686. doi: 10.1093/nar/gkw997. Epub 2016 Oct 26.,Nucleic Acids Res.  2017,PubMed,citation,PMID:27789686 | PMCID:PMC5210668,pubmed,27789686,create date:2016/10/30 | first author:Rauscher B
The cancer precision medicine knowledge base for structured clinical-grade mutations and interpretations.,/pubmed/27789569,"Huang L, Fernandes H, Zia H, Tavassoli P, Rennert H, Pisapia D, Imielinski M, Sboner A, Rubin MA, Kluk M, Elemento O.",J Am Med Inform Assoc. 2017 May 1;24(3):513-519. doi: 10.1093/jamia/ocw148.,J Am Med Inform Assoc.  2017,PubMed,citation,PMID:27789569 | PMCID:PMC5391733,pubmed,27789569,create date:2016/10/30 | first author:Huang L
SLC6A4 methylation as an epigenetic marker of life adversity exposures in humans: A systematic review of literature.,/pubmed/27565518,"Provenzi L, Giorda R, Beri S, Montirosso R.",Neurosci Biobehav Rev. 2016 Dec;71:7-20. doi: 10.1016/j.neubiorev.2016.08.021. Epub 2016 Aug 24. Review.,Neurosci Biobehav Rev.  2016,PubMed,citation,PMID:27565518,pubmed,27565518,create date:2016/10/30 | first author:Provenzi L
"CeNDR, the Caenorhabditis elegans natural diversity resource.",/pubmed/27701074,"Cook DE, Zdraljevic S, Roberts JP, Andersen EC.",Nucleic Acids Res. 2017 Jan 4;45(D1):D650-D657. doi: 10.1093/nar/gkw893. Epub 2016 Oct 3.,Nucleic Acids Res.  2017,PubMed,citation,PMID:27701074 | PMCID:PMC5210618,pubmed,27701074,create date:2016/10/05 | first author:Cook DE
Off-road truck-related accidents in U.S. mines.,/pubmed/27620937,"Dindarloo SR, Pollard JP, Siami-Irdemoosa E.",J Safety Res. 2016 Sep;58:79-87. doi: 10.1016/j.jsr.2016.07.002. Epub 2016 Jul 25.,J Safety Res.  2016,PubMed,citation,PMID:27620937 | PMCID:PMC5023031,pubmed,27620937,create date:2016/09/14 | first author:Dindarloo SR
Prediction of dynamical systems by symbolic regression.,/pubmed/27575130,"Quade M, Abel M, Shafi K, Niven RK, Noack BR.",Phys Rev E. 2016 Jul;94(1-1):012214. doi: 10.1103/PhysRevE.94.012214. Epub 2016 Jul 13.,Phys Rev E.  2016,PubMed,citation,PMID:27575130,pubmed,27575130,create date:2016/08/31 | first author:Quade M
Toward RNA Repair of Diamond Blackfan Anemia Hematopoietic Stem Cells.,/pubmed/27550323,"D'Allard DL, Liu JM.",Hum Gene Ther. 2016 Oct;27(10):792-801. doi: 10.1089/hum.2016.081. Review.,Hum Gene Ther.  2016,PubMed,citation,PMID:27550323,pubmed,27550323,create date:2016/08/24 | first author:D'Allard DL
H-PoP and H-PoPG: heuristic partitioning algorithms for single individual haplotyping of polyploids.,/pubmed/27531103,"Xie M, Wu Q, Wang J, Jiang T.",Bioinformatics. 2016 Dec 15;32(24):3735-3744. Epub 2016 Aug 16.,Bioinformatics.  2016,PubMed,citation,PMID:27531103,pubmed,27531103,create date:2016/08/18 | first author:Xie M
ATAC-seq on biobanked specimens defines a unique chromatin accessibility structure in naïve SLE B cells.,/pubmed/27249108,"Scharer CD, Blalock EL, Barwick BG, Haines RR, Wei C, Sanz I, Boss JM.",Sci Rep. 2016 Jun 1;6:27030. doi: 10.1038/srep27030.,Sci Rep.  2016,PubMed,citation,PMID:27249108 | PMCID:PMC4888756,pubmed,27249108,create date:2016/06/02 | first author:Scharer CD
Concomitant Inhibition of PI3Kβ and BRAF or MEK in PTEN-Deficient/BRAF-Mutant Melanoma Treatment: Preclinical Assessment of SAR260301 Oral PI3Kβ-Selective Inhibitor.,/pubmed/27196754,"Bonnevaux H, Lemaitre O, Vincent L, Levit MN, Windenberger F, Halley F, Delorme C, Lengauer C, Garcia-Echeverria C, Virone-Oddos A.",Mol Cancer Ther. 2016 Jul;15(7):1460-71. doi: 10.1158/1535-7163.MCT-15-0496. Epub 2016 May 12.,Mol Cancer Ther.  2016,PubMed,citation,PMID:27196754,pubmed,27196754,create date:2016/05/20 | first author:Bonnevaux H
Autoimmune disease and epigenome regulation.,/pubmed/27181231,Fujio K.,Nihon Rinsho Meneki Gakkai Kaishi. 2016;39(1):23-9. doi: 10.2177/jsci.39.23. Review. Japanese. ,Nihon Rinsho Meneki Gakkai Kaishi.  2016,PubMed,citation,PMID:27181231,pubmed,27181231,create date:2016/05/18 | first author:Fujio K
Cas-Database: web-based genome-wide guide RNA library design for gene knockout screens using CRISPR-Cas9.,/pubmed/27153724,"Park J, Kim JS, Bae S.",Bioinformatics. 2016 Jul 1;32(13):2017-23. doi: 10.1093/bioinformatics/btw103. Epub 2016 Feb 24.,Bioinformatics.  2016,PubMed,citation,PMID:27153724 | PMCID:PMC4920116,pubmed,27153724,create date:2016/05/07 | first author:Park J
Enrichr: a comprehensive gene set enrichment analysis web server 2016 update.,/pubmed/27141961,"Kuleshov MV, Jones MR, Rouillard AD, Fernandez NF, Duan Q, Wang Z, Koplev S, Jenkins SL, Jagodnik KM, Lachmann A, McDermott MG, Monteiro CD, Gundersen GW, Ma'ayan A.",Nucleic Acids Res. 2016 Jul 8;44(W1):W90-7. doi: 10.1093/nar/gkw377. Epub 2016 May 3.,Nucleic Acids Res.  2016,PubMed,citation,PMID:27141961 | PMCID:PMC4987924,pubmed,27141961,create date:2016/05/05 | first author:Kuleshov MV
Accurate and interpretable nanoSAR models from genetic programming-based decision tree construction approaches.,/pubmed/26956430,"Oksel C, Winkler DA, Ma CY, Wilkins T, Wang XZ.",Nanotoxicology. 2016 Sep;10(7):1001-12. doi: 10.3109/17435390.2016.1161857. Epub 2016 Apr 6.,Nanotoxicology.  2016,PubMed,citation,PMID:26956430,pubmed,26956430,create date:2016/03/10 | first author:Oksel C
Chemical and Biophysical Modulation of Cas9 for Tunable Genome Engineering.,/pubmed/26857072,"Nuñez JK, Harrington LB, Doudna JA.",ACS Chem Biol. 2016 Mar 18;11(3):681-8. doi: 10.1021/acschembio.5b01019. Epub 2016 Feb 9. Review.,ACS Chem Biol.  2016,PubMed,citation,PMID:26857072,pubmed,26857072,create date:2016/02/10 | first author:Nuñez JK
ClassTR: Classifying Within-Host Heterogeneity Based on Tandem Repeats with Application to Mycobacterium tuberculosis Infections.,/pubmed/26829497,"Chindelevitch L, Colijn C, Moodley P, Wilson D, Cohen T.",PLoS Comput Biol. 2016 Feb 1;12(2):e1004475. doi: 10.1371/journal.pcbi.1004475. eCollection 2016 Feb. Erratum in: PLoS Comput Biol. 2016 Feb;12(2):e1004806. ,PLoS Comput Biol.  2016,PubMed,citation,PMID:26829497 | PMCID:PMC4734664,pubmed,26829497,create date:2016/02/02 | first author:Chindelevitch L
Introduction to the Special Section on Epigenetics.,/pubmed/26822440,"Lester BM, Conradt E, Marsit C.",Child Dev. 2016 Jan-Feb;87(1):29-37. doi: 10.1111/cdev.12489.,Child Dev.  2016,PubMed,citation,PMID:26822440 | PMCID:PMC4943839,pubmed,26822440,create date:2016/01/30 | first author:Lester BM
VisBOL: Web-Based Tools for Synthetic Biology Design Visualization.,/pubmed/26808703,"McLaughlin JA, Pocock M, Mısırlı G, Madsen C, Wipat A.",ACS Synth Biol. 2016 Aug 19;5(8):874-6. doi: 10.1021/acssynbio.5b00244. Epub 2016 Feb 9.,ACS Synth Biol.  2016,PubMed,citation,PMID:26808703,pubmed,26808703,create date:2016/01/26 | first author:McLaughlin JA
Application of a soft computing technique in predicting the percentage of shear force carried by walls in a rectangular channel with non-homogeneous roughness.,/pubmed/26744942,"Khozani ZS, Bonakdari H, Zaji AH.",Water Sci Technol. 2016;73(1):124-9. doi: 10.2166/wst.2015.470.,Water Sci Technol.  2016,PubMed,citation,PMID:26744942,pubmed,26744942,create date:2016/01/09 | first author:Khozani ZS
Predicting crash risk and identifying crash precursors on Korean expressways using loop detector data.,/pubmed/26710266,"Kwak HC, Kho S.",Accid Anal Prev. 2016 Mar;88:9-19. doi: 10.1016/j.aap.2015.12.004. Epub 2015 Dec 19.,Accid Anal Prev.  2016,PubMed,citation,PMID:26710266,pubmed,26710266,create date:2015/12/29 | first author:Kwak HC
Algebraic Dynamic Programming over general data structures.,/pubmed/26695390,"zu Siederdissen CH, Prohaska SJ, Stadler PF.",BMC Bioinformatics. 2015;16 Suppl 19:S2. doi: 10.1186/1471-2105-16-S19-S2. Epub 2015 Dec 16.,BMC Bioinformatics.  2015,PubMed,citation,PMID:26695390 | PMCID:PMC4686793,pubmed,26695390,create date:2015/12/24 | first author:zu Siederdissen CH
"TCLP: an online cancer cell line catalogue integrating HLA type, predicted neo-epitopes, virus and gene expression.",/pubmed/26589293,"Scholtalbers J, Boegel S, Bukur T, Byl M, Goerges S, Sorn P, Loewer M, Sahin U, Castle JC.",Genome Med. 2015 Nov 20;7:118. doi: 10.1186/s13073-015-0240-5.,Genome Med.  2015,PubMed,citation,PMID:26589293 | PMCID:PMC4653878,pubmed,26589293,create date:2015/11/22 | first author:Scholtalbers J
"MT-HESS: an efficient Bayesian approach for simultaneous association detection in OMICS datasets, with application to eQTL mapping in multiple tissues.",/pubmed/26504141,"Lewin A, Saadi H, Peters JE, Moreno-Moral A, Lee JC, Smith KG, Petretto E, Bottolo L, Richardson S.",Bioinformatics. 2016 Feb 15;32(4):523-32. doi: 10.1093/bioinformatics/btv568. Epub 2015 Oct 26.,Bioinformatics.  2016,PubMed,citation,PMID:26504141 | PMCID:PMC4743623,pubmed,26504141,create date:2015/10/28 | first author:Lewin A
Synthesis and cell-free cloning of DNA libraries using programmable microfluidics.,/pubmed/26481354,"Ben Yehezkel T, Rival A, Raz O, Cohen R, Marx Z, Camara M, Dubern JF, Koch B, Heeb S, Krasnogor N, Delattre C, Shapiro E.",Nucleic Acids Res. 2016 Feb 29;44(4):e35. doi: 10.1093/nar/gkv1087. Epub 2015 Oct 19.,Nucleic Acids Res.  2016,PubMed,citation,PMID:26481354 | PMCID:PMC4770201,pubmed,26481354,create date:2015/10/21 | first author:Ben Yehezkel T
"BiGG Models: A platform for integrating, standardizing and sharing genome-scale models.",/pubmed/26476456,"King ZA, Lu J, Dräger A, Miller P, Federowicz S, Lerman JA, Ebrahim A, Palsson BO, Lewis NE.",Nucleic Acids Res. 2016 Jan 4;44(D1):D515-22. doi: 10.1093/nar/gkv1049. Epub 2015 Oct 17.,Nucleic Acids Res.  2016,PubMed,citation,PMID:26476456 | PMCID:PMC4702785,pubmed,26476456,create date:2015/10/18 | first author:King ZA
Application of an evolutionary algorithm in the optimal design of micro-sensor.,/pubmed/26405938,"Lu Q, Wang P, Guo S, Sheng B, Liu X, Fan Z.",Biomed Mater Eng. 2015;26 Suppl 1:S1711-9. doi: 10.3233/BME-151471.,Biomed Mater Eng.  2015,PubMed,citation,PMID:26405938,pubmed,26405938,create date:2015/09/26 | first author:Lu Q
The Matchmaker Exchange: a platform for rare disease gene discovery.,/pubmed/26295439,"Philippakis AA, Azzariti DR, Beltran S, Brookes AJ, Brownstein CA, Brudno M, Brunner HG, Buske OJ, Carey K, Doll C, Dumitriu S, Dyke SO, den Dunnen JT, Firth HV, Gibbs RA, Girdea M, Gonzalez M, Haendel MA, Hamosh A, Holm IA, Huang L, Hurles ME, et al.",Hum Mutat. 2015 Oct;36(10):915-21. doi: 10.1002/humu.22858.,Hum Mutat.  2015,PubMed,citation,PMID:26295439 | PMCID:PMC4610002,pubmed,26295439,create date:2015/08/22 | first author:Philippakis AA
Use of model organism and disease databases to support matchmaking for human disease gene discovery.,/pubmed/26269093,"Mungall CJ, Washington NL, Nguyen-Xuan J, Condit C, Smedley D, Köhler S, Groza T, Shefchek K, Hochheiser H, Robinson PN, Lewis SE, Haendel MA.",Hum Mutat. 2015 Oct;36(10):979-84. doi: 10.1002/humu.22857. Epub 2015 Sep 8.,Hum Mutat.  2015,PubMed,citation,PMID:26269093 | PMCID:PMC5473253,pubmed,26269093,create date:2015/08/14 | first author:Mungall CJ
The Matchmaker Exchange API: automating patient matching through the exchange of structured phenotypic and genotypic profiles.,/pubmed/26255989,"Buske OJ, Schiettecatte F, Hutton B, Dumitriu S, Misyura A, Huang L, Hartley T, Girdea M, Sobreira N, Mungall C, Brudno M.",Hum Mutat. 2015 Oct;36(10):922-7. doi: 10.1002/humu.22850.,Hum Mutat.  2015,PubMed,citation,PMID:26255989 | PMCID:PMC4775166,pubmed,26255989,create date:2015/08/11 | first author:Buske OJ
Evolutionary Visual Exploration: Evaluation of an IEC Framework for Guided Visual Search.,/pubmed/26222999,"Boukhelifa N, Bezerianos A, Cancino W, Lutton E.",Evol Comput. 2017 Spring;25(1):55-86. doi: 10.1162/EVCO_a_00161. Epub 2015 Jul 29.,Evol Comput.  2017,PubMed,citation,PMID:26222999,pubmed,26222999,create date:2015/07/30 | first author:Boukhelifa N
Search Engine for Antimicrobial Resistance: A Cloud Compatible Pipeline and Web Interface for Rapidly Detecting Antimicrobial Resistance Genes Directly from Sequence Data.,/pubmed/26197475,"Rowe W, Baker KS, Verner-Jeffreys D, Baker-Austin C, Ryan JJ, Maskell D, Pearce G.",PLoS One. 2015 Jul 21;10(7):e0133492. doi: 10.1371/journal.pone.0133492. eCollection 2015.,PLoS One.  2015,PubMed,citation,PMID:26197475 | PMCID:PMC4510569,pubmed,26197475,create date:2015/07/22 | first author:Rowe W
Protein-RNA and protein-glycan recognitions in light of amino acid codes.,/pubmed/26145579,"Nahalka J, Hrabarova E, Talafova K.",Biochim Biophys Acta. 2015 Sep;1850(9):1942-52. doi: 10.1016/j.bbagen.2015.06.013. Epub 2015 Jul 2. Review.,Biochim Biophys Acta.  2015,PubMed,citation,PMID:26145579,pubmed,26145579,create date:2015/07/07 | first author:Nahalka J
From Heuristic to Mathematical Modeling of Drugs Dissolution Profiles: Application of Artificial Neural Networks and Genetic Programming.,/pubmed/26101544,"Mendyk A, Güres S, Jachowicz R, Szlęk J, Polak S, Wiśniowska B, Kleinebudde P.",Comput Math Methods Med. 2015;2015:863874. doi: 10.1155/2015/863874. Epub 2015 May 26.,Comput Math Methods Med.  2015,PubMed,citation,PMID:26101544 | PMCID:PMC4460208,pubmed,26101544,create date:2015/06/24 | first author:Mendyk A
Inferring models of multiscale copy number evolution for single-tumor phylogenetics.,/pubmed/26072490,"Chowdhury SA, Gertz EM, Wangsa D, Heselmeyer-Haddad K, Ried T, Schäffer AA, Schwartz R.",Bioinformatics. 2015 Jun 15;31(12):i258-67. doi: 10.1093/bioinformatics/btv233.,Bioinformatics.  2015,PubMed,citation,PMID:26072490 | PMCID:PMC4481700,pubmed,26072490,create date:2015/06/15 | first author:Chowdhury SA
Process simulation and dynamic control for marine oily wastewater treatment using UV irradiation.,/pubmed/26043376,"Jing L, Chen B, Zhang B, Li P.",Water Res. 2015 Sep 15;81:101-12. doi: 10.1016/j.watres.2015.03.023. Epub 2015 May 15.,Water Res.  2015,PubMed,citation,PMID:26043376,pubmed,26043376,create date:2015/06/05 | first author:Jing L
Detection of composite communities in multiplex biological networks.,/pubmed/26012716,"Bennett L, Kittas A, Muirhead G, Papageorgiou LG, Tsoka S.",Sci Rep. 2015 May 27;5:10345. doi: 10.1038/srep10345.,Sci Rep.  2015,PubMed,citation,PMID:26012716 | PMCID:PMC4446847,pubmed,26012716,create date:2015/05/28 | first author:Bennett L
"PAPST, a User Friendly and Powerful Java Platform for ChIP-Seq Peak Co-Localization Analysis and Beyond.",/pubmed/25970601,"Bible PW, Kanno Y, Wei L, Brooks SR, O'Shea JJ, Morasso MI, Loganantharaj R, Sun HW.",PLoS One. 2015 May 13;10(5):e0127285. doi: 10.1371/journal.pone.0127285. eCollection 2015.,PLoS One.  2015,PubMed,citation,PMID:25970601 | PMCID:PMC4430287,pubmed,25970601,create date:2015/05/15 | first author:Bible PW
"ms-data-core-api: an open-source, metadata-oriented library for computational proteomics.",/pubmed/25910694,"Perez-Riverol Y, Uszkoreit J, Sanchez A, Ternent T, Del Toro N, Hermjakob H, Vizcaíno JA, Wang R.",Bioinformatics. 2015 Sep 1;31(17):2903-5. doi: 10.1093/bioinformatics/btv250. Epub 2015 Apr 24.,Bioinformatics.  2015,PubMed,citation,PMID:25910694 | PMCID:PMC4547611,pubmed,25910694,create date:2015/04/26 | first author:Perez-Riverol Y
ANT: Software for Generating and Evaluating Degenerate Codons for Natural and Expanded Genetic Codes.,/pubmed/25901796,"Engqvist MK, Nielsen J.",ACS Synth Biol. 2015 Aug 21;4(8):935-8. doi: 10.1021/acssynbio.5b00018. Epub 2015 Apr 30.,ACS Synth Biol.  2015,PubMed,citation,PMID:25901796,pubmed,25901796,create date:2015/04/23 | first author:Engqvist MK
